年份,地区,从业人员数(万人)
2019,北京,30.498
2018,北京,31.212
2017,北京,31.105
2016,北京,29.412
2015,北京,29.756
2014,北京,30.25
2013,北京,31.0
2012,北京,31.96
2011,北京,29.23
2010,北京,27.96
2009,北京,28.28
2008,北京,25.98
2007,北京,24.94
2006,北京,24.41
2005,北京,50.73
2004,北京,43.39
2003,北京,41.27
2019,天津,6.331
2018,天津,5.555
2017,天津,4.928
2016,天津,5.067
2015,天津,5.18
2014,天津,5.96
2013,天津,6.57
2012,天津,6.91
2011,天津,6.73
2010,天津,4.83
2009,天津,4.08
2008,天津,3.71
2007,天津,3.56
2006,天津,3.43
2005,天津,3.0
2004,天津,3.33
2003,天津,3.51
2019,石家庄,1.553
2018,石家庄,1.454
2017,石家庄,1.074
2016,石家庄,1.152
2015,石家庄,1.232
2014,石家庄,1.319
2013,石家庄,1.5
2012,石家庄,1.62
2011,石家庄,1.28
2010,石家庄,1.28
2009,石家庄,1.33
2008,石家庄,1.38
2007,石家庄,1.39
2006,石家庄,1.43
2005,石家庄,1.47
2004,石家庄,1.47
2003,石家庄,1.44
2019,唐山,0.503
2018,唐山,0.316
2017,唐山,0.296
2016,唐山,0.431
2015,唐山,0.506
2014,唐山,0.562
2013,唐山,0.77
2012,唐山,0.72
2011,唐山,0.62
2010,唐山,0.62
2009,唐山,0.6
2008,唐山,0.71
2007,唐山,0.61
2006,唐山,0.62
2005,唐山,0.59
2004,唐山,0.51
2003,唐山,0.45
2019,秦皇岛,0.308
2018,秦皇岛,0.323
2017,秦皇岛,0.268
2016,秦皇岛,0.427
2015,秦皇岛,0.459
2014,秦皇岛,0.472
2013,秦皇岛,0.52
2012,秦皇岛,0.58
2011,秦皇岛,0.32
2010,秦皇岛,0.33
2009,秦皇岛,0.29
2008,秦皇岛,0.26
2007,秦皇岛,0.29
2006,秦皇岛,0.3
2005,秦皇岛,0.33
2004,秦皇岛,0.33
2003,秦皇岛,0.26
2019,邯郸,0.391
2018,邯郸,0.348
2017,邯郸,0.338
2016,邯郸,0.526
2015,邯郸,0.561
2014,邯郸,0.62
2013,邯郸,0.68
2012,邯郸,0.6
2011,邯郸,0.44
2010,邯郸,0.36
2009,邯郸,0.36
2008,邯郸,0.4
2007,邯郸,0.44
2006,邯郸,0.47
2005,邯郸,0.47
2004,邯郸,0.5
2003,邯郸,0.34
2019,邢台,0.16
2018,邢台,0.195
2017,邢台,0.199
2016,邢台,0.324
2015,邢台,0.359
2014,邢台,0.443
2013,邢台,0.47
2012,邢台,0.49
2011,邢台,0.31
2010,邢台,0.35
2009,邢台,0.34
2008,邢台,0.34
2007,邢台,0.33
2006,邢台,0.33
2005,邢台,0.34
2004,邢台,0.36
2003,邢台,0.34
2019,保定,0.478
2018,保定,0.383
2017,保定,0.31
2016,保定,0.694
2015,保定,0.707
2014,保定,0.726
2013,保定,0.85
2012,保定,0.83
2011,保定,0.58
2010,保定,0.45
2009,保定,0.44
2008,保定,0.52
2007,保定,0.53
2006,保定,0.51
2005,保定,0.52
2004,保定,0.53
2003,保定,0.5
2019,张家口,0.333
2018,张家口,0.359
2017,张家口,0.248
2016,张家口,0.598
2015,张家口,0.639
2014,张家口,0.681
2013,张家口,0.68
2012,张家口,0.56
2011,张家口,0.47
2010,张家口,0.28
2009,张家口,0.27
2008,张家口,0.28
2007,张家口,0.28
2006,张家口,0.32
2005,张家口,0.3
2004,张家口,0.35
2003,张家口,0.34
2019,承德,0.214
2018,承德,0.206
2017,承德,0.173
2016,承德,0.285
2015,承德,0.609
2014,承德,0.371
2013,承德,0.37
2012,承德,0.19
2011,承德,0.15
2010,承德,0.16
2009,承德,0.19
2008,承德,0.2
2007,承德,0.23
2006,承德,0.27
2005,承德,0.27
2004,承德,0.28
2003,承德,0.35
2019,沧州,0.189
2018,沧州,0.202
2017,沧州,0.209
2016,沧州,0.359
2015,沧州,0.373
2014,沧州,0.385
2013,沧州,0.41
2012,沧州,0.44
2011,沧州,0.47
2010,沧州,0.28
2009,沧州,0.29
2008,沧州,0.33
2007,沧州,0.34
2006,沧州,0.36
2005,沧州,0.37
2004,沧州,0.34
2003,沧州,0.32
2019,廊坊,0.184
