,名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
0,长丰稻作文化展览馆,http://travel.qunar.com/p-oi39175783-zhangfengdaozuowenhua,,,,,0.0,,,,,1
1,伊力特酒文化产业园,http://travel.qunar.com/p-oi38943208-yilitejiuwenhuachanye,,伊力特酒文化产业园是国家AAAA级旅游景区，产业园位于可克达拉市，占地1600余亩。以伊犁河谷绿色、生态资源为依托，致力于打造集白酒生产、技术研发、文化展示、工艺体验、庄园休闲等功能于一体的4A级工业旅游园区。,,,--,,,,,1
2,朱雀湖公园,http://travel.qunar.com/p-oi37806787-zhuquehugongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,1
3,伊水湖景区,http://travel.qunar.com/p-oi37213777-yishuihujingqu,,,,,,,,,,1
4,长丰稻作文化展览馆,http://travel.qunar.com/p-oi39175783-zhangfengdaozuowenhua,,,,,0.0,,,,,2
5,伊力特酒文化产业园,http://travel.qunar.com/p-oi38943208-yilitejiuwenhuachanye,,,,,,,,,,2
6,朱雀湖公园,http://travel.qunar.com/p-oi37806787-zhuquehugongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,2
7,伊水湖景区,http://travel.qunar.com/p-oi37213777-yishuihujingqu,,,,,0.0,,,具体收费情况以现场公示为主,,2
8,长丰稻作文化展览馆,http://travel.qunar.com/p-oi39175783-zhangfengdaozuowenhua,,,,,,,,,,3
9,伊力特酒文化产业园,http://travel.qunar.com/p-oi38943208-yilitejiuwenhuachanye,,伊力特酒文化产业园是国家AAAA级旅游景区，产业园位于可克达拉市，占地1600余亩。以伊犁河谷绿色、生态资源为依托，致力于打造集白酒生产、技术研发、文化展示、工艺体验、庄园休闲等功能于一体的4A级工业旅游园区。,,,--,,,,,3
10,朱雀湖公园,http://travel.qunar.com/p-oi37806787-zhuquehugongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,3
11,伊水湖景区,http://travel.qunar.com/p-oi37213777-yishuihujingqu,,,,,0.0,,,具体收费情况以现场公示为主,,3
12,长丰稻作文化展览馆,http://travel.qunar.com/p-oi39175783-zhangfengdaozuowenhua,,,,,0.0,,,,,4
13,伊力特酒文化产业园,http://travel.qunar.com/p-oi38943208-yilitejiuwenhuachanye,,,,,,,,,,4
14,朱雀湖公园,http://travel.qunar.com/p-oi37806787-zhuquehugongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,4
15,伊水湖景区,http://travel.qunar.com/p-oi37213777-yishuihujingqu,,,,,0.0,,,具体收费情况以现场公示为主,,4
16,长丰稻作文化展览馆,http://travel.qunar.com/p-oi39175783-zhangfengdaozuowenhua,,,,,0.0,,,,,5
17,伊力特酒文化产业园,http://travel.qunar.com/p-oi38943208-yilitejiuwenhuachanye,,伊力特酒文化产业园是国家AAAA级旅游景区，产业园位于可克达拉市，占地1600余亩。以伊犁河谷绿色、生态资源为依托，致力于打造集白酒生产、技术研发、文化展示、工艺体验、庄园休闲等功能于一体的4A级工业旅游园区。,,,--,,,,,5
18,朱雀湖公园,http://travel.qunar.com/p-oi37806787-zhuquehugongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,5
19,伊水湖景区,http://travel.qunar.com/p-oi37213777-yishuihujingqu,,,,,0.0,,,具体收费情况以现场公示为主,,5
20,长丰稻作文化展览馆,http://travel.qunar.com/p-oi39175783-zhangfengdaozuowenhua,,,,,0.0,,,,,6
21,伊力特酒文化产业园,http://travel.qunar.com/p-oi38943208-yilitejiuwenhuachanye,,伊力特酒文化产业园是国家AAAA级旅游景区，产业园位于可克达拉市，占地1600余亩。以伊犁河谷绿色、生态资源为依托，致力于打造集白酒生产、技术研发、文化展示、工艺体验、庄园休闲等功能于一体的4A级工业旅游园区。,,,--,,,,,6
22,朱雀湖公园,http://travel.qunar.com/p-oi37806787-zhuquehugongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,6
23,伊水湖景区,http://travel.qunar.com/p-oi37213777-yishuihujingqu,,,,,0.0,,,具体收费情况以现场公示为主,,6
24,长丰稻作文化展览馆,http://travel.qunar.com/p-oi39175783-zhangfengdaozuowenhua,,,,,0.0,,,,,7
25,伊力特酒文化产业园,http://travel.qunar.com/p-oi38943208-yilitejiuwenhuachanye,,,,,,,,,,7
26,朱雀湖公园,http://travel.qunar.com/p-oi37806787-zhuquehugongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,7
27,伊水湖景区,http://travel.qunar.com/p-oi37213777-yishuihujingqu,,,,,0.0,,,具体收费情况以现场公示为主,,7
28,长丰稻作文化展览馆,http://travel.qunar.com/p-oi39175783-zhangfengdaozuowenhua,,,,,0.0,,,,,8
29,伊力特酒文化产业园,http://travel.qunar.com/p-oi38943208-yilitejiuwenhuachanye,,伊力特酒文化产业园是国家AAAA级旅游景区，产业园位于可克达拉市，占地1600余亩。以伊犁河谷绿色、生态资源为依托，致力于打造集白酒生产、技术研发、文化展示、工艺体验、庄园休闲等功能于一体的4A级工业旅游园区。,,,--,,,,,8
